city|state-code|state|country-code
Kittery|ME|Maine|US
Orlando|FL|Florida|US
Florence|AL|Alabama|US
Townsville|QLD|Queensland|AU
Springfield|OR|Oregon|US
Vero Beach|FL|Florida|US
Vacaville|CA|California|US
Essen|HH|Hamburg|DE
Westminster|BC|British Columbia|CA
Saginaw|MI|Michigan|US
New Hartford|NY|New York|US
Redford|MI|Michigan|US
Kennewick|WA|Washington|US
Brampton|ON|Ontario|CA
Novato|CA|California|US
Erlangen|BY|Bayern|DE
Mill Valley|CA|California|US
Versailles|78|Yveline|FR
Rock Springs|WY|Wyoming|US
Saint Ouen|41|Loir et Cher|FR
Johnson Creek|WI|Wisconsin|US
Saugus|MA|Massachusetts|US
Milwaukee|WI|Wisconsin|US
Salem|OR|Oregon|US
Pigeon Forge|TN|Tennessee|US
Kannapolis|NC|North Carolina|US
Kiel|SL|Saarland|DE
Pnot-Rouge|QC|Quebec|CA
Coronado|CA|California|US
Frankfurt am Main|SL|Saarland|DE
Markham|ON|Ontario|CA
Charlotte|NC|North Carolina|US
West Sussex|ENG|England|GB
Clay|NY|New York|US
Metchosin|BC|British Columbia|CA
Portland|OR|Oregon|US
Colombes|92|Hauts de Seine|FR
Waterbury|CT|Connecticut|US
Campbellsville|KY|Kentucky|US
Norridge|IL|Illinois|US
Lane Cove|NSW|New South Wales|AU
Boise|ID|Idaho|US
Englewood|CO|Colorado|US
Orleans|45|Loiret|FR
Leesburg|VA|Virginia|US
Woolston|ENG|England|GB
Kelso|WA|Washington|US
Holland|MI|Michigan|US
Santa Fe|NM|New Mexico|US
Detroit|MI|Michigan|US
Roissy en Brie|77|Seine et Marne|FR
Garland|TX|Texas|US
Austell|GA|Georgia|US
Berlin|HE|Hessen|DE
Branson|MO|Missouri|US
College Station|TX|Texas|US
Fort Worth|TX|Texas|US
Maidenhead|ENG|England|GB
Eilenburg|BB|Brandenburg|DE
Leeds|ENG|England|GB
Suwanee|GA|Georgia|US
York|ENG|England|GB
Fullerton|CA|California|US
Nepean|ON|Ontario|CA
Tilton|NH|New Hampshire|US
Edmonds|WA|Washington|US
Daleville|IN|Indiana|US
Index|WA|Washington|US
Corpus Christi|TX|Texas|US
Beaverton|OR|Oregon|US
Heath|OH|Ohio|US
